"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2022","24,900.0","24,850.0","25,100.0","24,850.0","1.32M","0.00%"
"03/30/2022","24,900.0","25,000.0","25,300.0","24,900.0","2.36M","-0.80%"
"03/29/2022","25,100.0","24,900.0","25,350.0","24,850.0","2.58M","0.60%"
"03/28/2022","24,950.0","25,350.0","25,350.0","24,700.0","3.05M","-1.58%"
"03/25/2022","25,350.0","25,450.0","25,700.0","25,350.0","1.60M","-0.39%"
"03/24/2022","25,450.0","25,100.0","25,700.0","25,050.0","3.04M","0.99%"
"03/23/2022","25,200.0","25,300.0","25,350.0","25,150.0","2.08M","-0.40%"
"03/22/2022","25,300.0","25,100.0","25,650.0","25,050.0","1.83M","0.40%"
"03/21/2022","25,200.0","25,350.0","25,350.0","25,050.0","2.92M","-0.59%"
"03/18/2022","25,350.0","25,700.0","25,850.0","25,300.0","2.56M","-0.98%"
"03/17/2022","25,600.0","25,700.0","25,950.0","25,000.0","2.68M","-0.39%"
"03/16/2022","25,700.0","26,600.0","26,600.0","25,700.0","4.01M","-1.72%"
"03/15/2022","26,150.0","26,150.0","26,700.0","26,100.0","3.32M","0.00%"
"03/14/2022","26,150.0","25,600.0","26,500.0","25,600.0","5.08M","1.36%"
"03/11/2022","25,800.0","26,200.0","26,200.0","25,700.0","3.30M","-1.53%"
"03/10/2022","26,200.0","25,400.0","26,500.0","25,200.0","5.22M","4.80%"
"03/09/2022","25,000.0","25,200.0","25,500.0","24,800.0","1.88M","-0.79%"
"03/08/2022","25,200.0","24,700.0","25,800.0","24,550.0","3.56M","1.20%"
"03/07/2022","24,900.0","25,350.0","25,350.0","24,850.0","3.00M","-1.97%"
"03/04/2022","25,400.0","25,000.0","25,750.0","25,000.0","2.18M","1.60%"
"03/03/2022","25,000.0","25,000.0","25,200.0","24,800.0","3.15M","0.00%"
"03/02/2022","25,000.0","25,350.0","25,400.0","24,950.0","3.08M","-1.57%"
"03/01/2022","25,400.0","25,300.0","25,500.0","25,050.0","3.29M","0.20%"
"02/28/2022","25,350.0","25,700.0","25,750.0","25,000.0","2.60M","-2.12%"
"02/25/2022","25,900.0","25,750.0","26,200.0","25,750.0","2.37M","0.97%"
"02/24/2022","25,650.0","26,200.0","26,350.0","25,000.0","7.20M","-2.29%"
"02/23/2022","26,250.0","26,000.0","26,600.0","25,950.0","3.08M","0.57%"
"02/22/2022","26,100.0","26,200.0","26,550.0","26,000.0","5.66M","-2.61%"
"02/21/2022","26,800.0","27,300.0","27,300.0","26,800.0","4.71M","-1.83%"
"02/18/2022","27,300.0","26,650.0","27,350.0","26,500.0","6.50M","1.87%"
"02/17/2022","26,800.0","26,350.0","27,500.0","26,150.0","7.75M","1.71%"
"02/16/2022","26,350.0","26,300.0","26,500.0","26,150.0","3.87M","0.38%"
"02/15/2022","26,250.0","26,100.0","26,500.0","25,800.0","4.06M","-0.57%"
"02/14/2022","26,400.0","26,500.0","27,300.0","26,400.0","7.86M","0.76%"
"02/11/2022","26,200.0","26,400.0","26,500.0","25,750.0","6.89M","-0.76%"
"02/10/2022","26,400.0","26,500.0","26,800.0","26,200.0","7.41M","0.57%"
"02/09/2022","26,250.0","26,000.0","26,500.0","25,900.0","5.48M","0.96%"
"02/08/2022","26,000.0","26,100.0","27,300.0","25,750.0","9.02M","0.00%"
"02/07/2022","26,000.0","25,700.0","26,000.0","25,300.0","11.64M","7.00%"
"01/28/2022","24,300.0","24,000.0","24,600.0","23,900.0","3.39M","1.25%"
"01/27/2022","24,000.0","24,150.0","24,200.0","23,800.0","3.01M","-0.41%"
"01/26/2022","24,100.0","23,800.0","24,200.0","23,600.0","5.82M","3.21%"
"01/25/2022","23,350.0","23,000.0","23,400.0","22,900.0","2.91M","2.41%"
"01/24/2022","22,800.0","22,800.0","23,500.0","22,750.0","2.58M","0.44%"
"01/21/2022","22,700.0","22,800.0","22,800.0","22,650.0","1.16M","-0.44%"
"01/20/2022","22,800.0","22,600.0","22,800.0","22,450.0","1.13M","0.44%"
"01/19/2022","22,700.0","22,750.0","23,000.0","22,600.0","1.05M","-1.09%"
"01/18/2022","22,950.0","22,900.0","23,150.0","22,700.0","1.54M","0.22%"
"01/17/2022","22,900.0","22,700.0","23,500.0","22,700.0","2.07M","0.88%"
"01/14/2022","22,700.0","22,500.0","22,700.0","22,200.0","1.43M","0.22%"
"01/13/2022","22,650.0","22,950.0","22,950.0","22,600.0","1.43M","-1.31%"
"01/12/2022","22,950.0","23,050.0","23,100.0","22,600.0","1.59M","-0.43%"
"01/11/2022","23,050.0","23,150.0","23,300.0","22,900.0","1.69M","-0.65%"
"01/10/2022","23,200.0","22,750.0","24,000.0","22,750.0","3.19M","2.43%"
"01/07/2022","22,650.0","22,850.0","22,850.0","22,600.0","2.13M","-0.88%"
"01/06/2022","22,850.0","23,100.0","23,100.0","22,800.0","2.47M","-1.08%"
"01/05/2022","23,100.0","23,400.0","23,400.0","23,100.0","2.26M","-0.86%"
"01/04/2022","23,300.0","23,200.0","23,500.0","23,150.0","1.83M","0.65%"
"12/31/2021","23,150.0","23,200.0","23,250.0","23,000.0","2.08M","-0.22%"
"12/30/2021","23,200.0","23,250.0","23,350.0","23,150.0","1.63M","0.00%"
"12/29/2021","23,200.0","23,200.0","23,300.0","23,100.0","1.05M","0.43%"
"12/28/2021","23,100.0","23,400.0","23,550.0","23,100.0","1.85M","-1.07%"
"12/27/2021","23,350.0","23,350.0","23,750.0","23,200.0","1.27M","0.21%"
"12/24/2021","23,300.0","23,150.0","23,450.0","23,150.0","1.33M","0.87%"
"12/23/2021","23,100.0","23,200.0","23,500.0","23,000.0","2.45M","0.00%"
"12/22/2021","23,100.0","23,500.0","23,600.0","23,100.0","2.19M","-1.07%"
