"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2022","16,500.0","16,100.0","16,700.0","16,100.0","1.59M","2.48%"
"07/28/2022","16,100.0","16,100.0","16,300.0","15,950.0","740.20K","0.94%"
"07/27/2022","15,950.0","16,100.0","16,100.0","15,600.0","1.12M","-1.54%"
"07/26/2022","16,200.0","16,300.0","16,400.0","16,150.0","609.50K","-0.92%"
"07/25/2022","16,350.0","16,600.0","16,600.0","16,300.0","643.50K","-1.51%"
"07/22/2022","16,600.0","16,450.0","16,750.0","16,450.0","1.22M","0.91%"
"07/21/2022","16,450.0","16,600.0","16,600.0","16,400.0","742.60K","-0.90%"
"07/20/2022","16,600.0","16,550.0","16,650.0","16,500.0","1.26M","1.22%"
"07/19/2022","16,400.0","16,400.0","16,450.0","16,250.0","541.70K","0.00%"
"07/18/2022","16,400.0","16,600.0","16,800.0","16,300.0","1.04M","0.00%"
"07/15/2022","16,400.0","16,450.0","16,700.0","16,400.0","1.06M","-0.30%"
"07/14/2022","16,450.0","16,400.0","16,500.0","16,100.0","970.70K","0.00%"
"07/13/2022","16,450.0","16,800.0","16,850.0","16,400.0","1.65M","0.61%"
"07/12/2022","16,350.0","16,250.0","16,450.0","16,200.0","899.00K","0.31%"
"07/11/2022","16,300.0","16,400.0","16,800.0","16,000.0","1.21M","-0.31%"
"07/08/2022","16,350.0","15,800.0","16,450.0","15,750.0","1.61M","4.47%"
"07/07/2022","15,650.0","15,600.0","15,800.0","15,450.0","632.40K","0.32%"
"07/06/2022","15,600.0","15,450.0","16,050.0","15,200.0","967.60K","0.97%"
"07/05/2022","15,450.0","15,800.0","16,000.0","15,450.0","697.10K","-1.90%"
"07/04/2022","15,750.0","15,900.0","16,100.0","15,700.0","755.10K","0.96%"
"07/01/2022","15,600.0","15,500.0","15,800.0","15,100.0","1.09M","0.65%"
"06/30/2022","15,500.0","15,800.0","16,000.0","15,500.0","1.21M","-3.43%"
"06/29/2022","16,050.0","16,250.0","16,250.0","15,800.0","904.70K","-2.73%"
"06/28/2022","16,500.0","16,500.0","17,100.0","16,500.0","1.46M","1.23%"
"06/27/2022","16,300.0","15,600.0","16,300.0","15,300.0","1.80M","6.89%"
"06/24/2022","15,250.0","15,350.0","15,500.0","15,250.0","808.20K","-0.33%"
"06/23/2022","15,300.0","15,300.0","15,300.0","14,700.0","699.80K","-0.33%"
"06/22/2022","15,350.0","15,400.0","15,500.0","15,100.0","758.70K","2.68%"
"06/21/2022","14,950.0","14,600.0","15,000.0","14,100.0","1.31M","2.40%"
"06/20/2022","14,600.0","15,600.0","15,600.0","14,550.0","1.81M","-6.41%"
"06/17/2022","15,600.0","15,900.0","15,900.0","15,150.0","2.16M","-4.00%"
"06/16/2022","16,250.0","16,200.0","16,950.0","16,150.0","982.00K","0.62%"
"06/15/2022","16,150.0","17,200.0","17,300.0","16,050.0","1.68M","-5.56%"
"06/14/2022","17,100.0","17,000.0","17,400.0","17,000.0","1.13M","0.00%"
"06/13/2022","17,100.0","17,200.0","17,650.0","17,100.0","1.99M","-5.00%"
"06/10/2022","18,000.0","18,200.0","18,500.0","18,000.0","960.50K","-2.70%"
"06/09/2022","18,500.0","18,050.0","18,550.0","17,950.0","1.32M","2.49%"
"06/08/2022","18,050.0","17,600.0","18,350.0","17,600.0","1.22M","2.27%"
"06/07/2022","17,650.0","17,900.0","17,900.0","17,400.0","1.30M","-1.40%"
"06/06/2022","17,900.0","18,050.0","18,400.0","17,900.0","1.11M","-0.83%"
"06/03/2022","18,050.0","18,000.0","18,400.0","17,900.0","944.60K","0.28%"
"06/02/2022","18,000.0","18,450.0","18,500.0","18,000.0","1.45M","-3.23%"
"06/01/2022","18,600.0","18,600.0","18,700.0","18,300.0","984.20K","-0.27%"
"05/31/2022","18,650.0","19,150.0","19,250.0","18,550.0","1.47M","-2.61%"
"05/30/2022","19,150.0","18,600.0","19,200.0","18,600.0","1.51M","2.96%"
"05/27/2022","18,600.0","17,850.0","18,600.0","17,850.0","2.08M","4.20%"
"05/26/2022","17,850.0","17,800.0","18,350.0","17,700.0","1.01M","0.28%"
"05/25/2022","17,800.0","17,500.0","17,900.0","17,100.0","1.35M","2.30%"
"05/24/2022","17,400.0","17,850.0","17,850.0","17,000.0","1.68M","-2.52%"
"05/23/2022","17,850.0","18,400.0","18,450.0","17,700.0","1.87M","-2.99%"
"05/20/2022","18,400.0","18,350.0","18,600.0","18,250.0","967.00K","0.27%"
"05/19/2022","18,350.0","18,350.0","18,600.0","18,200.0","973.20K","-2.39%"
"05/18/2022","18,800.0","19,500.0","19,500.0","18,800.0","1.14M","-2.08%"
"05/17/2022","19,200.0","18,100.0","19,350.0","17,800.0","1.72M","6.08%"
"05/16/2022","18,100.0","18,000.0","18,900.0","17,850.0","1.23M","1.97%"
"05/13/2022","17,750.0","19,000.0","19,100.0","17,700.0","1.72M","-6.58%"
"05/12/2022","19,000.0","20,100.0","20,300.0","19,000.0","1.32M","-6.40%"
"05/11/2022","20,300.0","20,500.0","20,500.0","20,050.0","682.10K","1.00%"
"05/10/2022","20,100.0","19,550.0","20,100.0","18,600.0","965.00K","2.81%"
"05/09/2022","19,550.0","20,700.0","20,800.0","19,550.0","2.93M","-6.90%"
"05/06/2022","21,000.0","21,500.0","21,650.0","21,000.0","1.18M","-4.33%"
"05/05/2022","21,950.0","22,650.0","22,650.0","21,650.0","880.20K","-1.57%"
"05/04/2022","22,300.0","21,750.0","22,800.0","21,750.0","1.34M","2.53%"
"04/29/2022","21,750.0","21,700.0","21,800.0","21,550.0","1.42M","0.23%"
"04/28/2022","21,700.0","22,000.0","22,000.0","21,550.0","934.20K","-0.69%"
"04/27/2022","21,850.0","21,700.0","21,850.0","21,150.0","717.10K","1.63%"
"04/26/2022","21,500.0","20,700.0","21,500.0","20,000.0","1.80M","3.86%"
