"Date","Price","Open","High","Low","Vol.","Change %"
"03/31/2022","50,800.0","49,300.0","51,500.0","49,000.0","18.20K","3.04%"
"03/30/2022","49,300.0","49,200.0","49,300.0","48,600.0","6.70K","0.00%"
"03/29/2022","49,300.0","49,400.0","49,400.0","48,900.0","7.80K","0.61%"
"03/28/2022","49,000.0","48,900.0","49,400.0","48,200.0","8.90K","0.00%"
"03/25/2022","49,000.0","49,000.0","49,000.0","48,500.0","7.20K","0.00%"
"03/24/2022","49,000.0","49,300.0","49,300.0","48,450.0","17.20K","-0.81%"
"03/23/2022","49,400.0","48,350.0","49,500.0","48,350.0","4.40K","1.23%"
"03/22/2022","48,800.0","48,750.0","49,450.0","48,700.0","6.10K","-1.31%"
"03/21/2022","49,450.0","48,600.0","50,100.0","48,600.0","29.40K","1.54%"
"03/18/2022","48,700.0","49,850.0","49,850.0","48,700.0","3.00K","-1.81%"
"03/17/2022","49,600.0","49,900.0","49,900.0","49,000.0","2.30K","0.20%"
"03/16/2022","49,500.0","48,500.0","50,500.0","48,500.0","6.00K","1.85%"
"03/15/2022","48,600.0","48,900.0","51,000.0","48,500.0","7.50K","-0.61%"
"03/14/2022","48,900.0","49,000.0","49,000.0","48,200.0","4.30K","-1.21%"
"03/11/2022","49,500.0","49,000.0","49,600.0","48,600.0","6.80K","-0.40%"
"03/10/2022","49,700.0","48,600.0","51,500.0","48,600.0","6.40K","3.11%"
"03/09/2022","48,200.0","48,100.0","49,200.0","48,000.0","38.40K","0.31%"
"03/08/2022","48,050.0","49,400.0","49,400.0","48,050.0","14.70K","-2.93%"
"03/07/2022","49,500.0","48,950.0","49,800.0","48,050.0","17.90K","0.00%"
"03/04/2022","49,500.0","48,300.0","49,900.0","48,300.0","23.80K","-1.00%"
"03/03/2022","50,000.0","50,200.0","50,300.0","49,000.0","21.20K","-0.40%"
"03/02/2022","50,200.0","50,000.0","51,000.0","49,500.0","6.30K","-0.59%"
"03/01/2022","50,500.0","50,000.0","50,900.0","50,000.0","9.70K","0.00%"
"02/28/2022","50,500.0","49,600.0","50,500.0","48,500.0","20.10K","1.81%"
"02/25/2022","49,600.0","48,750.0","49,600.0","48,500.0","12.70K","0.00%"
"02/24/2022","49,600.0","49,100.0","50,000.0","48,050.0","18.40K","-0.40%"
"02/23/2022","49,800.0","49,800.0","50,500.0","49,700.0","18.80K","0.00%"
"02/22/2022","49,800.0","49,000.0","50,300.0","49,000.0","17.80K","0.40%"
"02/21/2022","49,600.0","48,400.0","49,900.0","48,400.0","33.80K","1.22%"
"02/18/2022","49,000.0","48,100.0","49,000.0","48,100.0","25.60K","1.24%"
"02/17/2022","48,400.0","48,500.0","48,500.0","47,300.0","6.80K","0.73%"
"02/16/2022","48,050.0","48,500.0","48,500.0","47,500.0","112.90K","-0.52%"
"02/15/2022","48,300.0","48,600.0","48,800.0","47,200.0","14.40K","-0.21%"
"02/14/2022","48,400.0","47,500.0","48,400.0","47,300.0","11.70K","1.89%"
"02/11/2022","47,500.0","47,300.0","47,500.0","46,800.0","17.40K","1.50%"
"02/10/2022","46,800.0","48,750.0","49,000.0","46,500.0","17.90K","-3.70%"
"02/09/2022","48,600.0","48,900.0","48,900.0","48,500.0","5.90K","0.21%"
"02/08/2022","48,500.0","49,000.0","49,000.0","48,300.0","25.60K","0.62%"
"02/07/2022","48,200.0","49,000.0","49,000.0","48,100.0","55.10K","1.47%"
"01/28/2022","47,500.0","47,500.0","47,500.0","47,000.0","17.20K","0.21%"
"01/27/2022","47,400.0","48,400.0","48,400.0","46,300.0","57.90K","-1.15%"
"01/26/2022","47,950.0","48,000.0","48,400.0","47,950.0","1.40K","0.52%"
"01/25/2022","47,700.0","46,750.0","47,800.0","46,750.0","1.80K","-0.42%"
"01/24/2022","47,900.0","47,900.0","48,000.0","47,600.0","7.00K","0.21%"
